X,Y,Z
577153.35,1465530.5,838.97198
577144.71,1465530.5,838.97198
577136.07,1465530.5,838.97198
577127.43,1465530.5,838.97198
577118.79,1465530.5,838.97198
577110.16,1465530.5,871.76300
577101.52,1465530.5,871.76300
577092.88,1465530.5,871.76300
577084.23,1465530.5,871.76300
577075.6,1465530.5,871.76300
577066.96,1465530.5,871.76300
577058.32,1465530.5,871.76300
577049.68,1465530.5,871.76300
577041.04,1465530.5,871.76300
577032.4,1465530.5,871.76300
577023.76,1465530.5,904.61798
577015.12,1465530.5,904.61798
577006.48,1465530.5,904.61798
576997.84,1465530.5,904.61798
576989.2,1465530.5,904.61798
576980.56,1465530.5,904.61798
576971.92,1465530.5,904.61798
576963.28,1465530.5,904.61798
576954.64,1465530.5,904.61798
576946,1465530.5,904.61798
576937.36,1465530.5,904.61798
576928.72,1465530.5,935.49902
576920.08,1465530.5,935.49902
576911.44,1465530.5,935.49902
576902.8,1465530.5,935.49902
576894.16,1465530.5,935.49902
576885.52,1465530.5,935.49902
576876.88,1465530.5,935.49902
576868.24,1465530.5,935.49902
576859.6,1465530.5,935.49902
576850.96,1465530.5,935.49902
576842.32,1465530.5,968.53400
576833.68,1465530.5,968.53400
576825.04,1465530.5,968.53400
576816.4,1465530.5,968.53400
576807.76,1465530.5,968.53400
576799.12,1465530.5,968.53400
576790.48,1465530.5,968.53400
576781.84,1465530.5,968.53400
576773.2,1465530.5,968.53400
576764.56,1465530.5,968.53400
576755.93,1465530.5,968.53400
576747.29,1465530.5,1010.46503
576738.65,1465530.5,1010.46503
576730.01,1465530.5,1010.46503
576721.37,1465530.5,1010.46503
576712.73,1465530.5,1010.46503
576704.09,1465530.5,1010.46503
576695.45,1465530.5,1010.46503
576686.81,1465530.5,1010.46503
576678.17,1465530.5,1010.46503
576669.53,1465530.5,1010.46503
576660.89,1465530.5,1050.88306
576652.25,1465530.5,1050.88306
576643.61,1465530.5,1050.88306
576634.97,1465530.5,1050.88306
576626.33,1465530.5,1050.88306
576617.69,1465530.5,1050.88306
576609.05,1465530.5,1050.88306
576600.41,1465530.5,1050.88306
576591.77,1465530.5,1050.88306
576583.13,1465530.5,1050.88306
576574.49,1465530.5,1050.88306
576565.85,1465530.5,1091.20898
576557.21,1465530.5,1091.20898
576548.57,1465530.5,1091.20898
576539.93,1465530.5,1091.20898
576531.29,1465530.5,1091.20898
576522.65,1465530.5,1091.20898
576514.01,1465530.5,1091.20898
576505.37,1465530.5,1091.20898
576496.73,1465530.5,1091.20898
576488.09,1465530.5,1091.20898
576479.45,1465530.5,1126.69897
576470.81,1465530.5,1126.69897
576462.17,1465530.5,1126.69897
576453.54,1465530.5,1126.69897
576444.9,1465530.5,1126.69897
576436.26,1465530.5,1126.69897
576427.62,1465530.5,1126.69897
576418.98,1465530.5,1126.69897
576410.34,1465530.5,1126.69897
576401.7,1465530.5,1126.69897
576393.06,1465530.5,1126.69897
576384.42,1465530.5,1166.86304
576375.78,1465530.5,1166.86304
576367.14,1465530.5,1166.86304
576358.5,1465530.5,1166.86304
576349.86,1465530.5,1166.86304
576341.22,1465530.5,1166.86304
576332.58,1465530.5,1166.86304
576323.94,1465530.5,1166.86304
576315.3,1465530.5,1166.86304
576306.66,1465530.5,1166.86304
576298.02,1465530.5,1209.87097
576289.38,1465530.5,1209.87097
576280.74,1465530.5,1209.87097
576272.1,1465530.5,1209.87097
576263.46,1465530.5,1209.87097
576254.82,1465530.5,1209.87097
576246.18,1465530.5,1209.87097
576237.54,1465530.5,1209.87097
576228.9,1465530.5,1209.87097
576220.26,1465530.5,1209.87097
576211.62,1465530.5,1253.43103
576202.98,1465530.5,1253.43103
576194.34,1465530.5,1253.43103
576185.7,1465530.5,1253.43103
576177.06,1465530.5,1253.43103
576168.42,1465530.5,1253.43103
576159.78,1465530.5,1253.43103
576151.14,1465530.5,1253.43103
576142.51,1465530.5,1253.43103
576133.86,1465530.5,1253.43103
576125.22,1465530.5,1253.43103
576116.58,1465530.5,1292.37402
576107.95,1465530.5,1292.37402
576099.31,1465530.5,1292.37402
576090.67,1465530.5,1292.37402
576082.03,1465530.5,1292.37402
576073.39,1465530.5,1292.37402
576064.75,1465530.5,1292.37402
576056.11,1465530.5,1292.37402
576047.47,1465530.5,1292.37402
576038.83,1465530.5,1292.37402
576030.19,1465530.5,1333.95801
576021.55,1465530.5,1333.95801
576012.91,1465530.5,1333.95801
576004.27,1465530.5,1333.95801
575995.63,1465530.5,1333.95801
575986.99,1465530.5,1333.95801
575978.35,1465530.5,1333.95801
575969.71,1465530.5,1333.95801
575961.07,1465530.5,1333.95801
575952.43,1465530.5,1333.95801
575943.79,1465530.5,1333.95801
575935.15,1465530.5,1381.43103
575926.51,1465530.5,1381.43103
575917.87,1465530.5,1381.43103
575909.23,1465530.5,1381.43103
575900.59,1465530.5,1381.43103
575891.95,1465530.5,1381.43103
575883.31,1465530.5,1381.43103
575874.67,1465530.5,1381.43103
575866.03,1465530.5,1381.43103
575857.39,1465530.5,1381.43103
575848.75,1465530.5,1430.61206
575840.11,1465530.5,1430.61206
575831.47,1465530.5,1430.61206
575822.83,1465530.5,1430.61206
575814.19,1465530.5,1430.61206
575805.56,1465530.5,1430.61206
575796.92,1465530.5,1430.61206
575788.28,1465530.5,1430.61206
575779.64,1465530.5,1430.61206
575771,1465530.5,1430.61206
575762.36,1465530.5,1430.61206
575753.72,1465530.5,1489.49597
575745.08,1465530.5,1489.49597
575736.44,1465530.5,1489.49597
575727.8,1465530.5,1489.49597
575719.16,1465530.5,1489.49597
575710.52,1465530.5,1489.49597
575701.88,1465530.5,1489.49597
575693.24,1465530.5,1489.49597
575684.6,1465530.5,1489.49597
575675.96,1465530.5,1489.49597
575667.32,1465530.5,1551.47900
575658.68,1465530.5,1551.47900
575650.04,1465530.5,1551.47900
575641.4,1465530.5,1551.47900
575632.76,1465530.5,1551.47900
575624.12,1465530.5,1551.47900
575615.48,1465530.5,1551.47900
575606.84,1465530.5,1551.47900
575598.2,1465530.5,1551.47900
575589.56,1465530.5,1551.47900
575580.92,1465530.5,1551.47900
575572.28,1465530.5,1612.63196
575563.64,1465530.5,1612.63196
575555,1465530.5,1612.63196
575546.36,1465530.5,1612.63196
575537.72,1465530.5,1612.63196
575529.08,1465530.5,1612.63196
575520.44,1465530.5,1612.63196
575511.81,1465530.5,1612.63196
575503.17,1465530.5,1612.63196
575494.53,1465530.5,1612.63196
575485.89,1465530.5,1671.90906
575477.25,1465530.5,1671.90906
575468.61,1465530.5,1671.90906
575459.97,1465530.5,1671.90906
575451.33,1465530.5,1671.90906
575442.69,1465530.5,1671.90906
575434.05,1465530.5,1671.90906
575425.41,1465530.5,1671.90906
575416.77,1465530.5,1671.90906
575408.13,1465530.5,1671.90906
575399.49,1465530.5,1671.90906
575390.85,1465530.5,1731.17102
575382.21,1465530.5,1731.17102
575373.57,1465530.5,1731.17102
575364.93,1465530.5,1731.17102
575356.29,1465530.5,1731.17102
575347.65,1465530.5,1731.17102
575339.01,1465530.5,1731.17102
575330.37,1465530.5,1731.17102
575321.73,1465530.5,1731.17102
575313.09,1465530.5,1731.17102
575304.45,1465530.5,1794.94397
575295.81,1465530.5,1794.94397
